location,date,snow_depth
Han,4/13/22,0
Spo,4/13/22,0
Dek,4/13/22,0
Bon,4/14/22,0
Car,4/14/22,0
Arl,4/14/22,0
Han,4/14/22,16
Spo,4/14/22,0
Dek,4/14/22,0
Bon,4/15/22,0
Car,4/15/22,0
Arl,4/15/22,0
Han,4/15/22,0
Spo,4/15/22,43
Dek,4/15/22,0
Bon,4/16/22,0
Car,4/16/22,0
Arl,4/16/22,0
Han,4/16/22,0
Spo,4/16/22,29
Dek,4/16/22,0
